"","action","dataset","accuracy","reward","total_reward","loss","iteration","mu","sigma","ucb_reward","controller","random"
"68","9-64-3-4-12-16-3-2","cifar10","0.3513","-0.1","0.2774450827212127","0.6684108376502991","68","-0.0852937400341034","0.7017250657081604","2.9049983494577436","gaussian","0"
"69","9-32-1-4-12-8-3-8","cifar10","0.442","-0.02275984251162233","0.2546852402095904","0.6923904418945312","69","-0.08729298412799835","0.7035332918167114","2.910019417322592","gaussian","0"
"70","6-4-24-4-6-8-12-8","cifar10","0.4821","0.021892125990702116","0.2765773662002925","0.771172285079956","70","-0.08115115761756897","0.709588348865509","2.9149597740103927","gaussian","1"
"71","9-2-3-16-12-8-6-32","cifar10","0.4895","0.024913700792561666","0.30149106699285416","0.6885510683059692","71","0.01763317361474037","0.7012425065040588","2.9198218702658267","gaussian","0"
"72","9-64-3-4-12-16-3-2","cifar10","0.1","-0.1","0.20149106699285416","0.9236516952514648","72","0.22651250660419464","0.7030001878738403","2.068010183489447","gaussian","0"
"73","9-32-1-4-12-8-3-8","cifar10","0.1","-0.1","0.10149106699285415","0.7843279242515564","73","-0.041494276374578476","0.7170348763465881","2.0713424248898082","gaussian","0"
"74","3-32-1-64-12-16-9-64","cifar10","0.6143","0.1","0.20149106699285416","0.747658908367157","74","-0.13510216772556305","0.7015693187713623","2.933961517540464","gaussian","0"
"75","12-32-6-8-24-8-24-8","cifar10","0.5475","0.1","0.30149106699285416","0.829063892364502","75","0.012349491938948631","0.7142226696014404","2.9385330059525656","gaussian","0"
"76","1-32-3-64-1-4-9-32","cifar10","0.4714","0.04823652147570656","0.3497275884685607","0.7727669477462769","76","-0.13296183943748474","0.7107997536659241","2.94303698253567","gaussian","0"
"77","12-32-6-32-1-16-24-64","cifar10","0.5944","0.1","0.44972758846856076","0.744597852230072","77","0.046076755970716476","0.7083297967910767","2.9474753338590247","gaussian","0"
"78","9-2-6-8-1-8-12-2","cifar10","0.2976","-0.1","0.3497275884685608","0.667247474193573","78","0.004028264433145523","0.7052451968193054","2.951849869722236","gaussian","0"
"79","9-32-3-16-9-16-24-2","cifar10","0.3872","-0.04442290100443824","0.30530468746412254","0.928988516330719","79","-0.21173742413520813","0.714617133140564","2.956162327230026","gaussian","0"
"80","1-2-9-64-24-64-3-4","cifar10","0.4687","0.045961679196449445","0.351266366660572","0.6704198122024536","80","-0.09488868713378906","0.6962813138961792","2.9604143746015965","gaussian","0"
"81","24-32-1-32-9-32-1-16","cifar10","0.4929","0.06096934335715953","0.4122357100177315","0.7787449955940247","81","-0.08862502872943878","0.7028846740722656","2.9646076147350224","gaussian","0"
"82","3-64-6-32-12-8-3-32","cifar10","0.6073","0.1","0.5122357100177315","0.8139719367027283","82","-0.06204908713698387","0.7062778472900391","2.9687435885452462","gaussian","0"
"83","24-64-1-4-6-32-24-16","cifar10","0.515","0.03824037974858213","0.5504760897663137","0.7771539688110352","83","-0.029739029705524445","0.707133948802948","2.9728237780926734","gaussian","0"
"84","24-8-3-32-6-32-24-2","cifar10","0.3335","-0.1","0.4504760897663137","0.7996567487716675","84","-0.032638680189847946","0.7113692164421082","2.9768496095178585","gaussian","0"
"85","24-4-3-8-9-16-24-8","cifar10","0.4831","0.028873843039092517","0.4793499328054062","1.5062369108200073","85","0.5025846362113953","0.7146906852722168","2.980822455796493","gaussian","0"
